frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group,selected,reject_reason,reject_detail,t_str,cluster_size,in_anomaly,iei_prev,iei_prev2,density_1s,density_3s,density_10s,density_60s,recent_cv_5s,burst_score,n_same_group_3s,grp_biwa,grp_kakko,grp_koto,grp_shoko,grp_taiko,cluster,cluster_label,sml
170691,2026-05-04T16:18:23.678640,1777925903.6786404,11652.16226220131,66253,4172.0,340,406,337,404,6,5,-0.168963393065814,162.12130340415865,kakko,1,,,194:12.162,4,False,1.1089399374047506,7.421319246292114,-0.8968756364894584,-1.037767368907932,-1.1773021450810846,0.4710967299804015,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,False,True,False,False,False,0,baseline,L
170701,2026-05-04T16:18:24.367891,1777925904.3678913,11652.851513147354,66257,4176.0,340,406,337,404,6,5,-0.191847777615231,162.12130340415865,kakko,1,,,194:12.852,2,False,-0.4209239542720717,-10.95725965499878,0.1120802060731674,-0.6084837067119415,-0.9134493982209164,0.4710967299804015,-0.633222859440811,1.647370167615892,-0.4277640115732564,False,True,False,False,False,3,small_burst,M
170713,2026-05-04T16:18:25.183483,1777925905.1834826,11653.66710448265,66259,,340,406,337,404,6,5,-0.2376165467140651,162.12130340415865,kakko,0,global_suppression,suppress_until=1777925906.179,194:13.667,3,False,-0.4032841788480763,0.1263403892517089,0.1120802060731674,-0.1792000445159513,-0.6495966513607481,0.3561807883797061,-0.633222859440811,1.6473569014713485,0.0876085555974285,False,True,False,False,False,0,baseline,L
170731,2026-05-04T16:18:26.416809,1777925906.4168086,11654.900430440905,66262,,340,406,337,403,6,6,-0.168963393065814,162.12130340415865,kakko,0,global_suppression,suppress_until=1777925906.932,194:14.900,2,False,-0.3449596400411666,0.4177346229571412,-0.8968756364894584,0.2500836176800389,-0.3857439045005799,0.2412648467790107,-0.3798579843568615,-1.0058720072004246,0.6029811227681134,False,True,False,False,False,0,baseline,L
170988,2026-05-04T16:18:43.920015,1777925923.9200146,11672.403636455536,66264,4178.0,94,270,92,267,5,6,-0.1003102394175629,254.9536081678015,koto,1,,,194:32.404,7,False,1.9266577902174675,16.269880056377588,-0.8968756364894584,-1.037767368907932,-1.1773021450810846,-0.9078945692279428,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,False,False,True,False,False,1,after_silence,L
170996,2026-05-04T16:18:44.463300,1777925924.4633005,11672.946922302246,66271,,94,269,91,266,6,6,-0.0087727012198947,255.24127553924353,koto,0,no_slots_existing,"active_rects=6, max=6",194:32.947,7,False,-0.4413037519539976,-16.959920167921155,0.1120802060731674,-0.6084837067119415,-0.9134493982209164,-0.7929786276272474,-0.633222859440811,1.647370167615892,-0.4277640115732564,False,False,True,False,False,3,small_burst,M
171004,2026-05-04T16:18:45.023593,1777925925.0235927,11673.507214546204,66278,,94,270,90,265,8,10,0.517568143416697,254.9536081678015,koto,0,no_slots_existing,"active_rects=6, max=6",194:33.507,6,False,-0.4389293012340761,0.0170063972473144,0.1120802060731674,-0.1792000445159513,-0.6495966513607481,-0.6780626860265521,-0.633222859440811,1.6473569014713485,0.0876085555974285,False,False,True,False,False,0,baseline,M
171014,2026-05-04T16:18:45.696238,1777925925.6962378,11674.179859638214,66284,,94,272,91,270,7,4,-0.191847777615231,254.3806078612892,koto,0,global_suppression,suppress_until=1777925926.628,194:34.180,8,False,-0.4232424807355868,0.1123528480529785,0.1120802060731674,0.2500836176800389,-0.3857439045005799,-0.5631467444258567,-0.5867173473593846,0.7629502132697186,0.6029811227681134,False,False,True,False,False,0,baseline,M
171023,2026-05-04T16:18:46.304836,1777925926.304836,11674.788457870483,66292,,92,268,90,265,5,7,-0.168963393065814,255.67728002179643,koto,0,global_suppression,suppress_until=1777925926.836,194:34.788,5,False,-0.4321847693349692,-0.0640468597412109,0.1120802060731674,0.6793672798760292,-0.1218911576404117,-0.4482308028251613,-0.3406849705413284,0.3207457636633066,1.1183536899387982,False,False,True,False,False,0,baseline,M
171031,2026-05-04T16:18:46.864477,1777925926.8644774,11675.34809923172,66297,4184.0,94,269,90,265,9,9,0.1743023751754415,255.24127553924353,koto,1,,,194:35.348,6,False,-0.4390201781507365,-0.0489568710327148,0.1120802060731674,1.1086509420720194,0.1419615892197565,-0.333314861224466,-0.3790396036132791,0.0554227401366074,1.633726257109483,False,False,True,False,False,0,baseline,M
