objectID,title,department,objectName,classification,medium,isPublicDomain,best_image_url,primaryImage_exists,primaryImageSmall_exists,additionalImages_count
233,Armchair,The American Wing,Armchair,,Mahogany,True,https://images.metmuseum.org/CRDImages/ad/web-large/DP220460.jpg,True,True,8
237,Armchair,The American Wing,Armchair,,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",True,https://images.metmuseum.org/CRDImages/ad/web-large/DT179.jpg,True,True,1
750266,Terracotta fragment of lekanis (covered dish)?,Greek and Roman Art,Lekanis fragment?,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12316_1_ff.jpg,True,True,1
719006,Terracotta rim fragment of a kylix (drinking cup),Greek and Roman Art,Kylix fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB06910_2_ff.jpg,True,True,1
267,Armchair,The American Wing,Armchair,,"Primary: mahogany; Secondary: cherry (medial braces), ash or oak (stubb tenon feet).",True,https://images.metmuseum.org/CRDImages/ad/web-large/DP171103.jpg,True,True,3
750267,Terracotta fragment of lekanis (covered dish)?,Greek and Roman Art,Lekanis fragment?,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12297_1_ff.jpg,True,True,1
750268,Terracotta fragment of a lekanis lid (covered dish)?,Greek and Roman Art,Lekanis lid fragment?,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12301_1_ff.jpg,True,True,1
298,Badge of the Cincinnati Medal,The American Wing,Badge,,Gold,True,https://images.metmuseum.org/CRDImages/ad/web-large/DP272616.jpg,True,True,1
448082,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk; tapestry woven,True,https://images.metmuseum.org/CRDImages/is/web-large/DP17845.jpg,True,True,1
468991,Belt Buckle with an Eagle,Medieval Art,Buckle plate,Metalwork-Silver,Silver with garnets,True,https://images.metmuseum.org/CRDImages/md/web-large/dp30567.jpg,True,True,1
750269,Terracotta fragment of a lekanis lid (covered dish),Greek and Roman Art,Lekanis lid fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11969_1_ff.jpg,True,True,1
786756,"Diptych of Kali / Tara, wrathful protectors",Asian Art,Print,Prints,Chromolithographic on paper,True,https://images.metmuseum.org/CRDImages/as/web-large/DP-16219-018.jpg,True,True,0
448083,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk; tapestry woven,True,https://images.metmuseum.org/CRDImages/is/web-large/LC-27_170_39.jpg,True,True,1
750270,Terracotta fragment of a plate?,Greek and Roman Art,Plate fragment?,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11966_1_ff.jpg,True,True,1
468997,Ring of Belt Buckle,Medieval Art,Buckle,Metalwork-Silver,"Silver with garnets, gilt.",True,https://images.metmuseum.org/CRDImages/md/web-large/dp30570.jpg,True,True,1
573205,Fragment of a votive bracelet,Egyptian Art,Votive bracelet,,Faience,True,https://images.metmuseum.org/CRDImages/eg/web-large/LC-09_182_19_17_EGDP037510.jpg,True,True,1
448084,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk; tapestry woven,True,https://images.metmuseum.org/CRDImages/is/web-large/LC-27_170_40.jpg,True,True,1
573208,Fragment of a votive bracelet,Egyptian Art,Votive bracelet,,Faience,True,https://images.metmuseum.org/CRDImages/eg/web-large/LC-09_182_19_20_EGDP037508.jpg,True,True,1
750271,Terracotta fragment of a lekanis (covered dish)?,Greek and Roman Art,Lekanis fragment?,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11976_1_ff.jpg,True,True,1
448085,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/69162.jpg,True,True,0
573213,Fragment of a votive bracelet,Egyptian Art,Votive bracelet,,Faience,True,https://images.metmuseum.org/CRDImages/eg/web-large/LC-09_182_19_25_EGDP037518.jpg,True,True,1
573216,Fragment of a votive bracelet,Egyptian Art,Votive bracelet,,Faience,True,https://images.metmuseum.org/CRDImages/eg/web-large/LC-09_182_19_28_EGDP037670.jpg,True,True,1
786863,Beggar's Bowl (Kashkul),Islamic Art,Beggar's bowl,Wood,Wood; inlaid with camel bone,True,https://images.metmuseum.org/CRDImages/is/web-large/LC-2018_665_2B.jpg,True,True,9
448087,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,Linen and silk,True,https://images.metmuseum.org/CRDImages/is/web-large/69062.jpg,True,True,0
439,Bedstead,The American Wing,Bedstead,,"Birch, white pine",True,https://images.metmuseum.org/CRDImages/ad/web-large/146258.jpg,True,True,3
786873,Mosaic glass fragment,Greek and Roman Art,Mosaic glass fragment,Glass,Glass,True,https://images.metmuseum.org/CRDImages/gr/web-large/LC-1719439698.jpg,True,True,0
445,Bedstead,The American Wing,Bedstead,,Maple,True,https://images.metmuseum.org/CRDImages/ad/web-large/193952.jpg,True,True,0
